URL, Size, Number of Outlinks, Conytent-Type
https://www.nytimes.com/watching/recommendations/watching-tv-outlander, 92191, 32, text/html
https://www.nytimes.com/2017/07/29/us/politics/trump-presidency-setbacks.html?hp&target=comments, 97677, 125, text/html
https://www.nytimes.com/content/help/rights/privacy/privacy-overview.html, 9756, 25, text/html
https://www.nytimes.com/2017/07/28/dining/watermelon-gazpacho-soup-recipe.html, 83578, 102, text/html
https://www.nytimes.com/watching/recommendations/gleason, 90484, 30, text/html
https://www.nytimes.com/2017/07/19/opinion/donald-trump-republican-tax-cuts.html?rref=collection%2Fcolumn%2FRoss%20Douthat, 81944, 110, text/html
https://www.nytimes.com/2017/07/29/us/politics/chuck-schumer-new-york-senate.html, 94494, 108, text/html
https://www.nytimes.com/2017/07/28/us/politics/health-care-senate-repeal-trump.html, 107576, 121, text/html
https://www.nytimes.com/video/us/100000005317252/us-proposes-sanctions-and-russia-retaliates.html?playlistId=100000002797598, 216037, 82, text/html
https://www.nytimes.com/2017/07/26/realestate/mill-basin-brooklyn-house-proud-but-not-too-accessible.html, 255759, 124, text/html
https://www.nytimes.com/2017/07/24/watching/what-to-watch-this-week-tv-shows.html, 108431, 36, text/html
https://www.nytimes.com/pages/dining/index.html, 215407, 271, text/html
https://www.nytimes.com/watching/titles/super, 81809, 23, text/html
https://www.nytimes.com/video/us/politics/100000005315923/john-mccain-vote-defeats-senate-republican-health-care-bill.html?playlistId=100000005005669, 208623, 81, text/html
https://www.nytimes.com/2017/07/25/books/review/the-last-laugh-lynn-freed.html, 82490, 94, text/html
https://www.nytimes.com/video/us/politics/100000005305503/donald-trump-white-house-press-conference.html?playlistId=100000003890188, 224456, 99, text/html
https://www.nytimes.com/2017/07/28/movies/yiddish-cinema-makes-a-comeback-menashe.html, 91865, 110, text/html
https://www.nytimes.com/watching/titles/lilo-and-stitch, 91168, 32, text/html
https://www.nytimes.com/content/help/rights/rights.html, 11251, 31, text/html
https://www.nytimes.com/watching/recommendations/watching-film-the-maltese-falcon, 89233, 31, text/html
https://www.nytimes.com/2017/07/29/style/tijuana-mexico-the-look.html, 569562, 112, text/html
https://www.nytimes.com/2017/07/27/well/live/for-kids-with-cancer-focusing-on-quality-of-life.html, 96858, 108, text/html
https://www.nytimes.com/video/world/asia/100000005305979/aftermath-of-a-deadly-mumbai-building-collapse.html?playlistId=100000004687548, 358670, 84, text/html
https://www.nytimes.com/es/, 174473, 104, text/html
https://www.nytimes.com/2017/07/28/arts/music/playlist-mick-jagger-julia-michaels-macklemore-lil-yachty.html, 555532, 118, text/html
https://www.nytimes.com/watching/titles/meru, 81446, 22, text/html
https://www.nytimes.com/content/help/front.html, 13637, 36, text/html
https://www.nytimes.com/section/science, 152443, 160, text/html
https://www.nytimes.com/2017/07/27/books/review/jane-green-by-the-book.html, 91783, 101, text/html
https://www.nytimes.com/video/us/politics/100000005308471/gops-lisa-murkowski-shows-no-fear-in-disappointing-trump.html?playlistId=100000005005669, 222676, 88, text/html
https://www.nytimes.com/2017/07/27/world/australia/dual-citizenship-matt-canavan-senator.html, 95751, 113, text/html
https://www.nytimes.com/2017/07/06/watching/netflix-okja-bong-joon-ho-films.html, 123130, 42, text/html
https://www.nytimes.com/2017/07/28/nyregion/queens-man-found-guilty-of-hiring-gunman-for-midtown-murder.html, 95808, 106, text/html
https://www.nytimes.com/2017/07/28/world/europe/charlie-gard-dead.html, 100803, 114, text/html
https://www.nytimes.com/2017/07/28/us/airport-stress.html, 79034, 101, text/html
https://www.nytimes.com/video/us/politics/100000005314709/health-bill-vote-senate.html?playlistId=100000005005669, 215727, 85, text/html
https://www.nytimes.com/video/opinion, 156411, 67, text/html
https://www.nytimes.com/2017/07/26/theater/michael-moore-broadway-belasco-theater.html, 93133, 110, text/html
https://www.nytimes.com/section/health, 146110, 158, text/html
https://www.nytimes.com/watching/recommendations/watching-film-brokeback-mountain, 91366, 34, text/html
https://www.nytimes.com/section/t-magazine/fashion, 152650, 155, text/html
https://www.nytimes.com/2017/07/26/world/australia/letter20-great-barrier-reef-climate-change-coral.html, 104999, 127, text/html
https://www.nytimes.com/2017/07/28/nyregion/liz-smith-lions-of-new-york.html, 114689, 123, text/html
https://www.nytimes.com/video/us/politics/100000005289615/drugs-border-smugglers-narcotics.html, 261022, 98, text/html
https://www.nytimes.com/2017/07/28/health/electronic-cigarette-tobacco-nicotine-fda.html, 93696, 109, text/html
https://www.nytimes.com/section/jobs, 115276, 126, text/html
https://www.nytimes.com/2017/07/29/opinion/sunday/artificial-intelligence-is-stuck-heres-how-to-move-it-forward.html, 85056, 102, text/html
https://www.nytimes.com/watching/titles/for-a-good-time-call, 81335, 22, text/html
https://www.nytimes.com/2017/02/09/business/europe-jobs-economy-youth-unemployment-millenials.html, 137926, 107, text/html
https://www.nytimes.com/2017/07/28/opinion/health-susan-collins-murkowski.html, 89203, 111, text/html
https://www.nytimes.com/2017/07/29/sports/soccer/barcelona-real-madrid-el-clasico-miami.html, 96571, 112, text/html
https://www.nytimes.com/2017/07/27/automobiles/wheels/car-data-tracking.html, 86694, 108, text/html
https://www.nytimes.com/2017/07/28/arts/design/a-brief-history-of-emoji-art.html, 559660, 109, text/html
https://www.nytimes.com/interactive/2017/07/27/travel/what-to-do-36-hours-in-upper-peninsula-michigan.html, 135396, 62, text/html
https://www.nytimes.com/video/us/politics/100000005176155/sean-spicer-resigns-press-secretary.html, 427882, 89, text/html
https://www.nytimes.com/2017/05/09/business/french-election-economy-macron.html, 105265, 112, text/html
https://www.nytimes.com/watching/recommendations/the-handmaiden, 91482, 33, text/html
https://www.nytimes.com/2017/07/28/business/scaramuccis-vulgar-rant-spurs-newsroom-debate-asterisks-or-no-asterisks.html, 92046, 107, text/html
https://www.nytimes.com/2017/07/14/upshot/how-universal-college-admission-tests-help-low-income-students.html, 100493, 130, text/html
https://www.nytimes.com/2017/07/28/health/paranoiac-scaramucci-word-history.html, 92468, 112, text/html
https://www.nytimes.com/video/world/americas/100000005312007/venezuela-protest-maduro-elections.html?playlistId=100000002104378, 184339, 81, text/html
https://www.nytimes.com/section/realestate, 190477, 179, text/html
https://www.nytimes.com/2017/07/26/magazine/the-majestic-marble-quarries-of-northern-italy.html, 106808, 103, text/html
https://www.nytimes.com/watching/titles/sunshine-superman, 81714, 22, text/html
https://www.nytimes.com/2016/05/29/world/europe/spains-wine-industry-is-hiccuping-from-its-excesses.html, 99619, 113, text/html
https://www.nytimes.com/video/us/politics/100000005308479/trumps-transgender-military-ban-prompts-pushback.html?playlistId=100000002797598, 258045, 101, text/html
https://www.nytimes.com/2017/07/29/opinion/sunday/president-trumps-really-weak-week.html, 89904, 108, text/html
https://www.nytimes.com/video/us/100000005199824/detroit-unrest-riots-rebellion.html?playlistId=100000004687548, 358180, 83, text/html
https://www.nytimes.com/by/peter-s-goodman, 115743, 122, text/html
https://www.nytimes.com/2017/07/27/watching/picnic-at-hanging-rock-classic-movie.html, 96839, 30, text/html
https://www.nytimes.com/2017/07/28/arts/television/daughters-of-destiny-netflix-tv-review.html, 83400, 102, text/html
https://www.nytimes.com/section/well/live, 145090, 159, text/html
https://www.nytimes.com/watching/titles/the-life-aquatic-with-steve-zissou, 82948, 25, text/html
https://www.nytimes.com/video/world/middleeast/100000005286791/iraqs-hardball-tactics-isis-mosul.html, 232993, 78, text/html
https://www.nytimes.com/video/obituaries/100000002453870/the-last-word-john-g-morris-obituary.html?playlistId=100000004352037, 155202, 77, text/html
https://www.nytimes.com/watching/titles/seeking-a-friend-for-the-end-of-the-world, 82159, 22, text/html
https://www.nytimes.com/section/books, 153186, 175, text/html
https://www.nytimes.com/2017/07/29/us/politics/trump-presidency-setbacks.html, 97677, 124, text/html
https://www.nytimes.com/2017/07/28/realestate/what-to-do-when-youve-picked-the-wrong-suburb.html, 131398, 125, text/html
https://www.nytimes.com/watching/recommendations/moonlight, 92912, 35, text/html
https://www.nytimes.com/video/travel/100000005265114/36-hours-michigans-upper-peninsula.html?playlistId=100000004687548, 358646, 84, text/html
